TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
19708,2023-05-24,Noida City Centre,Rajouri Garden,2.55,139.78,68.43,25.0,Tourist Card,off-peak
89106,2024-08-07,Rajiv Chowk,Mandi House,6.73,77.8,119.23,23.0,Tourist Card,maintenance
67266,2024-11-27,kashmere gate,Central Secretariat,8.3,22.0,31.74,15.0,Single,festival
24644,2023-10-14,Laxmi Nagar,Old Delhi,6.7,113.67,13.38,20.0,Tourist Card,weekend
20183,2024-09-25,HAUZ KHAS,Chandni Chowk,2.24,187.22,77.76,23.0,Smart Card,peak
127042,2023-05-06,Noida City Centre,New Delhi,1.02,176.7,81.95,18.0,Tourist Card,off-peak
69080,2024-02-14,Kashmere Gate,Janakpuri West,1.57,88.17,54.33,12.0,Tourist Card,weekend
31814,2022-07-26,Kalkaji Mandir,Shivaji Park,6.21,67.18,42.22,16.0,,festival
30991,2022-08-03,rajouri garden,Punjabi Bagh,1.6600000000000001,181.81,18.7,27.0,Tourist Card,maintenance
143577,2022-02-18,Chandni Chowk,Kalkaji Mandir,1.6600000000000001,157.5,38.6,25.0,Smart Card,festival
133635,2023-05-01,Kalkaji Mandir,Model Town,8.97,193.41,119.55,29.0,Smart Card,off-peak
261,2023-11-05,CHANDNI CHOWK,Dilshad Garden,1.92,60.77,18.57,22.0,Single,peak
61986,2022-05-14,Jasola Vihar,Kashmere Gate,22.54,133.67,64.49,14.0,Tourist Card,peak
54330,2022-10-04,Rajiv Chowk,Noida City Centre,4.18,50.85,81.8,21.0,Tourist Card,off-peak
136099,2023-12-18,AIIMS,Netaji Subhash Place,1.8900000000000001,42.41,11.93,15.0,Single,
58031,2023-08-06,Dilshad Garden,New Delhi,2.77,96.33,8.12,17.0,Smart Card,festival
116582,2024-10-01,Rajiv Chowk,Noida City Centre,1.56,33.08,35.8,18.0,Smart Card,peak
65758,2024-12-18,Rajiv Chowk,Rajiv Chowk,4.79,130.59,8.56,18.0,Single,peak
83358,2022-11-23,Noida City Centre,Hauz Khas,1.33,78.02,44.46,23.0,Tourist Card,weekend
18540,2024-03-11,Mandi House,Rajouri Garden,4.09,51.07,111.28,19.0,Smart Card,
39224,2023-07-31,Rajiv Chowk,Shivaji Park,7.51,83.51,46.56,21.0,Single,
62550,2022-01-27,CHANDNI CHOWK,Shivaji Park,4.24,141.52,47.02,16.0,Smart Card,maintenance
149344,2023-07-22,Hauz Khas,Noida City Centre,30.92,179.64,14.46,14.0,Tourist Card,peak
51818,2022-05-27,Rajiv Chowk,Kalkaji Mandir,2.56,188.27,58.73,16.0,Smart Card,maintenance
115987,2023-03-26,hauz khas,Punjabi Bagh,6.46,184.2,59.13,26.0,Single,festival
41259,2024-01-02,Noida City Centre,Old Delhi,2.34,27.29,6.2,21.0,Tourist Card,peak
110040,2024-12-13,Jasola Vihar,Rajiv Chowk,3.21,179.93,24.82,15.0,Tourist Card,weekend
115290,2023-05-13,Rajiv Chowk,Dilshad Garden,3.37,39.23,119.46,21.0,Single,maintenance
120499,2023-10-30,Laxmi Nagar,Pragati Maidan,3.73,132.18,55.27,31.0,Single,
99639,2024-05-24,Mandi House,Janakpuri West,1.28,69.96,92.06,21.0,Single,festival
5955,2022-02-19,Mandi House,Shivaji Park,3.9699999999999998,161.95,33.54,20.0,Tourist Card,festival
148288,2023-12-12,KALKAJI MANDIR,Kirti Nagar,0.6000000000000001,133.71,64.38,18.0,Tourist Card,off-peak
10396,2024-03-27,AIIMS,Dilshad Garden,5.82,159.58,79.9,20.0,Smart Card,off-peak
107132,2022-06-19,Dilshad Garden,Inderlok,10.4,81.16,111.58,22.0,Smart Card,
99483,2022-05-23,Noida City Centre,Hauz Khas,0.6900000000000001,55.91,73.62,26.0,Tourist Card,maintenance
131103,2024-09-09,Kashmere Gate,Kalkaji Mandir,5.1,170.34,85.25,26.0,Tourist Card,
42167,2023-12-11,Rajiv Chowk,Punjabi Bagh,10.63,161.55,62.45,15.0,Tourist Card,weekend
104940,2022-02-12,Rajiv Chowk,Old Delhi,1.11,53.71,19.29,19.0,Tourist Card,festival
48838,2023-06-01,Rajiv Chowk,Netaji Subhash Place,18.14,138.25,29.1,27.0,Tourist Card,maintenance
98162,2024-11-10,Kalkaji Mandir,Rajiv Chowk,2.63,149.45,34.83,18.0,Tourist Card,festival
118819,2023-08-12,Mandi House,Janakpuri West,1.87,69.04,80.23,15.0,Tourist Card,weekend
4879,2023-02-01,Central Secretariat,Mandi House,1.6800000000000002,27.26,113.37,12.0,Tourist Card,
105105,2024-06-15,Model Town,Janakpuri West,0.59,99.2,57.06,25.0,Tourist Card,off-peak
136069,2023-07-02,Noida City Centre,Janakpuri West,6.87,196.4,77.59,9.0,Tourist Card,
97012,2024-06-22,Kashmere Gate,Laxmi Nagar,4.26,134.74,96.19,23.0,Tourist Card,weekend
43824,2022-03-30,AIIMS,New Delhi,4.76,78.24,23.9,22.0,Single,
91959,2023-11-17,Model Town,Mandi House,2.44,153.57,81.96,19.0,Single,
131783,2023-05-04,Kalkaji Mandir,Kashmere Gate,2.08,34.21,8.22,21.0,Smart Card,off-peak
127083,2023-03-02,Rajiv Chowk,Shivaji Park,8.14,100.59,76.54,19.0,Smart Card,off-peak
40207,2022-06-13,Rajouri Garden,Jasola Vihar,11.46,178.71,55.61,15.0,Single,maintenance
22620,2022-10-19,Inderlok,Hauz Khas,8.52,114.21,10.14,20.0,Smart Card,weekend
121046,2024-10-28,Rajiv Chowk,Mandi House,0.74,120.81,23.29,21.0,Tourist Card,
114676,2023-08-28,Mandi House,Shivaji Park,7.76,179.39,47.53,22.0,Tourist Card,festival
50069,2023-03-13,jasola vihar,Old Delhi,2.49,174.43,97.98,16.0,Tourist Card,off-peak
120940,2024-08-19,Noida City Centre,Hauz Khas,18.36,110.38,30.15,17.0,Smart Card,off-peak
116662,2024-07-02,Noida City Centre,Mandi House,2.42,107.93,41.57,20.0,Tourist Card,festival
141702,2024-03-28,Noida City Centre,AIIMS,2.41,61.98,99.4,18.0,Tourist Card,
91980,2022-01-16,New Delhi,Model Town,0.6000000000000001,116.45,65.35,26.0,Single,
112845,2023-08-21,Central Secretariat,Laxmi Nagar,2.33,155.74,79.16,23.0,Tourist Card,festival
75103,2022-06-13,Model Town,AIIMS,3.69,58.54,84.22,25.0,Tourist Card,festival
72218,2022-11-14,AIIMS,Netaji Subhash Place,1.07,58.54,43.73,19.0,Single,maintenance
103668,2022-07-22,Noida City Centre,Laxmi Nagar,1.44,132.93,70.4,26.0,Tourist Card,off-peak
130711,2023-03-11,New Delhi,Laxmi Nagar,1.52,60.21,90.1,20.0,Tourist Card,
65094,2024-03-31,aiims,Janakpuri West,3.42,19.46,24.13,21.0,Single,
64068,2024-11-12,Janakpuri West,Central Secretariat,5.08,107.23,38.56,26.0,Smart Card,maintenance
123515,2022-07-13,Rajiv Chowk,New Delhi,3.65,165.46,59.89,21.0,Smart Card,peak
116222,2024-08-11,Rajiv Chowk,Kirti Nagar,2.89,115.58,8.26,20.0,Tourist Card,weekend
100595,2023-11-16,Inderlok,Kashmere Gate,15.32,155.04,53.8,20.0,Tourist Card,
96163,2023-12-22,Rajiv Chowk,Janakpuri West,0.61,35.53,43.1,13.0,Smart Card,maintenance
51514,2022-12-01,Inderlok,Rajiv Chowk,1.72,136.78,69.74,19.0,Smart Card,festival
136066,2023-04-08,AIIMS,Pragati Maidan,9.69,114.05,42.43,15.0,Single,weekend
70330,2022-10-25,Noida City Centre,Kashmere Gate,0.65,112.39,59.14,27.0,Tourist Card,weekend
80236,2024-03-31,Rajiv Chowk,Pragati Maidan,0.5700000000000001,184.21,63.09,18.0,Smart Card,weekend
60891,2022-06-30,Rajiv Chowk,AIIMS,15.58,131.32,98.52,27.0,Smart Card,weekend
50189,2023-01-21,Noida City Centre,Kalkaji Mandir,0.9500000000000001,197.32,113.63,24.0,Tourist Card,weekend
18350,2022-10-19,Hauz Khas,Kirti Nagar,7.4,22.05,84.97,20.0,Tourist Card,weekend
75232,2024-11-15,Inderlok,Laxmi Nagar,1.13,133.3,67.12,29.0,Smart Card,festival
92384,2024-01-18,Chandni Chowk,Rajouri Garden,4.73,122.86,15.26,31.0,Single,maintenance
142622,2022-02-25,Rajiv Chowk,Mandi House,2.16,177.34,30.33,17.0,Smart Card,weekend
58080,2024-06-27,Mandi House,Netaji Subhash Place,10.8,162.8,83.37,26.0,Tourist Card,peak
379,2024-06-10,Kashmere Gate,Hauz Khas,3.32,156.73,100.23,21.0,Tourist Card,festival
42028,2022-05-23,Kashmere Gate,Central Secretariat,2.76,14.62,57.53,24.0,Tourist Card,maintenance
97216,2023-12-19,Model Town,Kashmere Gate,5.71,141.74,92.61,17.0,Tourist Card,off-peak
105730,2023-08-05,Central Secretariat,New Delhi,5.9,135.6,9.17,17.0,Smart Card,weekend
77483,2023-09-22,Mandi House,Rajouri Garden,3.61,90.34,20.17,18.0,Tourist Card,festival
9460,2023-01-10,Jasola Vihar,Noida City Centre,0.52,23.1,76.05,26.0,Tourist Card,peak
1967,2022-07-22,Rajiv Chowk,Kashmere Gate,8.57,20.92,75.65,15.0,Smart Card,maintenance
135292,2023-01-14,MODEL TOWN,Kalkaji Mandir,8.39,66.57,91.89,21.0,Tourist Card,maintenance
102721,2023-09-12,Rajiv Chowk,Rajouri Garden,1.1400000000000001,63.87,80.86,21.0,Single,off-peak
74833,2023-01-10,Rajiv Chowk,Chandni Chowk,3.7,183.45,19.87,21.0,Single,
126478,2022-11-28,New Delhi,Pragati Maidan,1.03,118.65,114.07,17.0,Smart Card,
65363,2023-01-14,Mandi House,AIIMS,2.18,110.75,27.18,21.0,Single,weekend
